individual_id,plot_treatment_id,individual_treatment_id,genus,species_epithet,dbh,tree_height_m
2301,No treatment,No treatment,Quercus,agrifolia,48.75,14.621
2305,No treatment,No treatment,Quercus,douglasii,34.8,14.07
2306,No treatment,No treatment,Quercus,douglasii,33.8,14.06
2308,No treatment,No treatment,Quercus,douglasii,25.8,6.62
2309,No treatment,No treatment,Quercus,douglasii,17.3,12.92
2313,No treatment,No treatment,Quercus,douglasii,31.5,10.6
2322,No treatment,No treatment,Quercus,agrifolia,25.5,8.614
2330,No treatment,No treatment,Quercus,douglasii,12,NA
2331,No treatment,No treatment,Quercus,agrifolia,36,8.34
2332,No treatment,No treatment,Quercus,douglasii,85.5,12.609
2333,No treatment,No treatment,Quercus,douglasii,14.4,5.688
2334,No treatment,No treatment,Quercus,douglasii,11.8,7.331
2335,No treatment,No treatment,Quercus,douglasii,25.6,15.12
2336,No treatment,No treatment,Quercus,douglasii,11.8,7.331
2337,No treatment,No treatment,Quercus,douglasii,26.3,13.134
2338,No treatment,No treatment,Quercus,douglasii,34.6,12.905
2339,No treatment,No treatment,Quercus,douglasii,24.7,17.919
2340,No treatment,No treatment,Quercus,douglasii,32.3,10.32
2341,No treatment,No treatment,Quercus,douglasii,41.8,13.324
2342,No treatment,No treatment,Quercus,douglasii,22.9,10.56
2343,No treatment,No treatment,Quercus,douglasii,64.45,13.11
2344,No treatment,No treatment,Quercus,douglasii,52.5,8.54
2345,No treatment,No treatment,Quercus,agrifolia,58.2,18.24
2346,No treatment,No treatment,Quercus,douglasii,24.4,14.56
2347,No treatment,No treatment,Quercus,douglasii,33.349999999999994,12.47
2348,No treatment,No treatment,Quercus,douglasii,41.5,11.94
2349,No treatment,No treatment,Quercus,douglasii,29.9,11.64
2350,No treatment,No treatment,Quercus,douglasii,42.5,8.72
2351,No treatment,No treatment,Quercus,douglasii,26.4,11.93
2352,No treatment,No treatment,Quercus,agrifolia,53.8615,12.875
2353,No treatment,No treatment,Quercus,agrifolia,45.3,8.963
2354,No treatment,No treatment,Quercus,agrifolia,79.65,12.466
2355,No treatment,No treatment,Quercus,douglasii,17.7,11.63
2356,No treatment,No treatment,Quercus,douglasii,26.2,13.899
2357,No treatment,No treatment,Quercus,douglasii,23.6,12.455
2358,No treatment,No treatment,Quercus,douglasii,26.5,9.528
2359,No treatment,No treatment,Quercus,douglasii,15.7,7.75
2360,No treatment,No treatment,Quercus,douglasii,22.65,11.048
2361,No treatment,No treatment,Quercus,douglasii,31.759,6.579
2362,No treatment,No treatment,Quercus,douglasii,18,8.449
2363,No treatment,No treatment,Quercus,douglasii,23.8,9.366
2364,No treatment,No treatment,Quercus,douglasii,28.3,12.735
2365,No treatment,No treatment,Quercus,douglasii,42.099999999999994,8.118
2366,No treatment,No treatment,Quercus,douglasii,26.3,11.305
2367,No treatment,No treatment,Quercus,douglasii,28.65,12.349
2369,No treatment,No treatment,Quercus,douglasii,30.75,13.754
2370,No treatment,No treatment,Quercus,douglasii,46.9,NA
2371,No treatment,No treatment,Quercus,douglasii,99.35,NA
2372,No treatment,No treatment,Quercus,douglasii,49.05,NA
2373,No treatment,No treatment,Quercus,douglasii,46.8,NA
2374,No treatment,No treatment,Quercus,douglasii,36.2,NA
2375,No treatment,No treatment,Quercus,douglasii,46.8,NA
2376,No treatment,No treatment,Quercus,agrifolia,60.7,NA
2377,No treatment,No treatment,Quercus,agrifolia,68,NA
2378,No treatment,No treatment,Quercus,douglasii,34.85,NA
2379,No treatment,No treatment,Quercus,douglasii,43.4,NA
2380,No treatment,No treatment,Quercus,agrifolia,78.25,NA
2381,No treatment,No treatment,Quercus,douglasii,51.95,NA
2382,No treatment,No treatment,Quercus,douglasii,59.85,NA
2383,No treatment,No treatment,Quercus,douglasii,44.5,NA
2384,No treatment,No treatment,Quercus,douglasii,55.1,NA
