Collection Data,Operator,Tred ID,1,2,3,4,5,6,7,notes
7/16/25,,115,2.74,2.96,2.56,2.69,,,,
7/16/25,,73,2.39,2.22,1.15,2.14,2.2,,,
7/16/25,,125,2.5,2.55,2.95,3,3.2,3.2,3.1,
7/16/25,,82,2.12,2.08,2.38,,,,,shaded could not reach sun
7/16/25,,69,2.26,3.27,3.89,2.9,3.23,,,
7/16/25,,116,2.76,2.49,3.09,3.16,2.79,2.69,,
7/16/25,,127,1.9,1.9,1.8,,,,,
7/16/25,,120,3.6,3.9,3.69,3.6,3.6,,,
7/16/25,,104,2.85,2.8,2.75,,,,,
7/16/25,,79,2.06,2.2,2.4,2.49,,,,
7/16/25,,114,2.34,2.17,2.3,2.39,,,,
7/16/25,,81,3.3,3.26,3.43,3.35,,,,
7/16/25,,123,2.9,2.2,2.3,2.3,2.45,,,
7/16/25,,105,3.56,3.03,3.41,3.21,2.8,3.74,,
7/16/25,,118,3.92,4.13,3.96,,,,,
7/16/25,,102,2.82,2.74,3.06,2.65,,,,
7/16/25,,106,3.16,3.1,3.6,3.17,3.23,,,
7/16/25,,70,2.25,2.35,2.25,2.3,,,,
7/16/25,,127,2.3,2.35,2.63,,,,,
7/16/25,,100,2.1,2.1,2.2,2.35,,,,
7/16/25,,103,2.6,2.65,2.7,,,,,
7/16/25,,80,2.66,3.54,2.74,2.54,2.9,,,
7/16/25,,76,3,2.72,3.07,2.92,,,,
7/16/25,,131,2.8,2.95,2.83,,,,,
7/16/25,,66,2.2,2.48,2.32,,,,,
7/16/25,,95,2.27,2.3,2.47,,,,,
7/16/25,,74,2.2,2.2,2.42,,,,,
7/16/25,,132,1.6,1.65,2.28,2.4,2.54,,,
7/16/25,,72,2.25,2.02,1.95,2.4,1.86,2.77,,
7/16/25,,78,2.35,2.55,2.5,2.55,,,,
7/16/25,Sc,Kroton,1.85,1.8,1.85,,,,,
7/16/25,,86,1.8,2.04,2.1,,,,,
7/16/25,,2330,3.1,3.2,3,3.15,,,,
7/16/25,,2354,3.59,3.65,4.7,4.56,4.42,4.29,,
7/16/25,,2021,3.03,3.3,3.28,,,,,
7/16/25,,183,4.01,4.07,4.11,,,,,
7/16/25,,2336,3.9,4.2,3.85,3.85,3.8,,,
7/16/25,,2393,3.47,3.42,3.72,3.3,3.76,,,
7/16/25,,2309,3.38,3.45,3.5,3.65,,,,
7/16/25,,2361,3.21,3.17,3.18,3.2,,,,
7/16/25,,2357,2.65,2.75,2.5,2.7,,,,
7/16/25,,2390,2.9,3.18,3.33,,,,,
7/16/25,,2353,4.4,4.34,3.93,4.1,4.3,,,
7/16/25,,2394,2.77,2.84,2.82,2.84,,,,
7/16/25,,2332,3.42,3.5,3.55,,,,,
7/16/25,,2363,4.05,4.1,3.9,4.1,,,,
7/16/25,,2359,4.31,4.29,4.29,,,,,
7/16/25,,2334,4.3,4.2,4.2,4.3,,,,
7/16/25,,2362,3.4,4.26,4.31,,,,,
7/16/25,,2391,3.35,3.4,3.2,2.9,,,,originally labeled 23911
7/16/25,,2392,3.21,3.66,3.6,3.09,3.1,,,originally labeled 2992
7/16/25,,132-2,2.38,2.45,2.52?,,,,,Sharpie 1
7/16/25,,132-1,2.93,2.65,2.41,,,,,Sharpie 3
7/16/25,,132-3,2.2,2.25,2.14,,,,,Sharpie 1
7/16/25,,116-2,3.16,3.2,3.3,,,,,Sharpie 1?
7/16/25,,116-1,2.5,2.7,2.54,,,,,Sharpie 2
7/16/25,,103-2,2.55,2.85,2.7,,,,,Sharpie 2
7/16/25,,76-1,2.81,2.8,2.9,,,,,Sharpie 1
7/16/25,,73-1,2.18,1.88,2.46,,,,,Sharpie 1
7/16/25,,73-3,2.82,2.32,2.55,,,,,Sharpie 1
7/16/25,,103-1,3.45,2.85,2.95,,,,,Sharpie 1
7/16/25,,77-3,2.99,3,3.1,,,,,Sharpie 1
7/16/25,,77-1,2.44,2.5,2.5,,,,,Sharpie 1
7/16/25,,79-3,3,3.15,2.55,,,,,Sharpie 1
7/16/25,,76-2,3.16,3.14,3.28,,,,,Sharpie 1
7/16/25,,103-3,2.48,2.61,2.05,,,,,Sharpie 1
7/16/25,,79-2,2.4,2.55,2.6,,,,,Sharpie 1
7/16/25,,76-3,2.76,2.8,3.1,,,,,Sharpie 1
7/16/25,,114-3,2.65,2.7,2.55,,,,,Sharpie 1
7/16/25,,79-1,2.42,2.58,2.7,,,,,Sharpie 1
7/16/25,,77-2,2.8,2.8,2.9,,,,,Sharpie 1
7/16/25,,114-1,2.75,3.2,2.95,,,,,Sharpie 1
7/16/25,,73-2,2.58,2.8,2.8,,,,,Sharpie 1
7/16/25,,78-2,2.94,2.4,2.75,,,,,Sharpie 1
7/16/25,,78-3,2.82,2.38,2.77,,,,,Sharpie 1
7/16/25,,114-2,3.05,2.95,2.95,,,,,Sharpie 1
7/16/25,,78-7,3.13,2.37,2.74,,,,,Sharpie 1
7/16/25,,68-1,2.11,2.16,2.65,,,,,Sharpie 1
7/16/25,,116-3,3.5,3.3,3.35,,,,,Sharpie 1
7/16/25,,68-3,2.57,2.87,3.44,,,,,Sharpie 1
7/16/25,,68-2,3.47,3.3,>3.47,,,,,"Sharpie 1, ran out of gas on the last leaf"
7/16/25,shane,2380,2,2.6,2.4,2.5,,,,
